strain	Abamectin_mean_EXT
AB1	-69.7857410620261
BRC20067	-29.8908677392715
BRC20263	86.8846989277377
CB4852	-24.3367589789177
CB4854	35.3375887234041
CB4855	-42.14597605793
CB4856	70.1315206477996
CB4857	57.5635303639425
CB4858	-11.125215491267
CB4932	187.624126784814
CX11262	-12.9183619857213
CX11264	49.2483214555801
CX11271	18.0480103472023
CX11276	40.3537289760571
CX11285	-60.0169622503832
CX11292	193.810918936013
CX11307	2.94602715828101
CX11314	-52.5900657945682
CX11315	127.969217094097
DL200	89.8095892749067
DL226	22.4620746675558
DL238	148.322586419438
ECA189	141.121477209729
ECA348	49.8638035325587
ECA349	-95.3881147021388
ECA36	165.088655981031
ECA369	-65.1162835380107
ECA372	-118.376408447741
ECA396	-174.957178844208
ED3005	-48.8430691974816
ED3011	83.523622974873
ED3017	85.2023056236292
ED3040	6.98569800583359
ED3046	-110.830419436496
ED3048	103.864059187554
ED3049	-150.863333804362
ED3052	-48.8243554839191
ED3073	51.1400134053884
ED3077	198.000941339736
EG4347	68.9323689929644
EG4349	152.425472597862
EG4725	102.520146460688
EG4946	40.4457316383163
GXW1	42.4204664747453
JT11398	85.690042506525
JU1088	-11.6980413699195
JU1172	63.6104797112411
JU1212	178.349847915326
JU1242	-62.7093009319795
JU1246	84.4577284086868
JU1249	13.5793980536058
JU1395	9.85056459408185
JU1409	-46.3272115335798
JU1440	-106.477652461729
JU1491	124.448177829789
JU1543	51.456586426065
JU1568	39.2540869164172
JU1581	-69.6430591718132
JU1652	-33.737517321369
JU1666	14.8007423384438
JU1792	-12.9966205895315
JU1793	87.5679086549969
JU1808	-77.6133096750032
JU1896	10.8054145798064
JU1934	-51.8787762936687
JU2007	26.6414164953731
JU2016	39.9444805283605
JU2017	69.4632491167473
JU2106	-199.251770984588
JU2131	-48.4928914099519
JU2141	3.23890851286238
JU2234	-83.8429751220294
JU2250	-114.151052533987
JU2257	-5.75812626663034
JU2464	-141.859315930078
JU2466	12.1870626472636
JU2513	-32.4731197281857
JU2522	16.3118944093751
JU2526	-100.755257379555
JU2534	-49.8009431441557
JU2565	-57.2849190273403
JU2566	-95.4048112606717
JU2570	-29.185618360028
JU2572	-31.3369706543674
JU2575	-83.4314233168517
JU2576	-83.7948169660758
JU2578	75.6443512026277
JU258	-69.8060590343425
JU2581	-112.541103626793
JU2586	113.193248705595
JU2587	-43.5969651677343
JU2592	-27.2426869065016
JU2593	-29.8851226762014
JU2600	3.25945711124745
JU2610	-28.2712934404356
JU2619	97.5788131121855
JU2800	-41.1274634238739
JU2811	141.813808238664
JU2825	25.3228106950025
JU2829	-65.2043289849381
JU2838	-76.9300961670156
JU2841	22.510050108701
JU2853	10.2744925721352
JU2862	30.736384519695
JU2866	-0.190306143332089
JU2878	192.015159242971
JU2879	-20.919194621783
JU2906	20.2830207355582
JU2907	30.679126500763
JU310	33.0532611003681
JU311	2.94851062332258
JU3125	12.5508090390049
JU3127	21.2120459381305
JU3128	-9.53904524800727
JU3132	-106.810593483378
JU3134	-4.23605015432044
JU3135	104.256522258457
JU3137	-75.7713719943735
JU3140	-45.5369492274598
JU3144	33.0434560318837
JU323	-21.2175815531763
JU346	-19.2996039034637
JU360	-171.528103193457
JU367	-11.8332704480353
JU393	30.3579552296997
JU394	8.43942264205707
JU397	-82.564890916862
JU406	13.3451894342355
JU440	82.5832559958785
JU561	-65.6982510151121
JU642	-21.0048970207887
JU751	115.527978400325
JU774	-84.0820022418179
JU775	-95.4034557483532
JU778	-79.377825636084
JU782	123.195651193615
JU792	-162.694396299321
JU830	38.7291234892407
KR314	-37.7270624234496
LKC34	-22.9918228267709
MY1	41.0776380526125
MY10	-16.3093000634769
MY16	-60.3775074118672
MY18	-95.9679751846806
MY2147	-18.5940440579393
MY2212	111.982961427351
MY23	-113.393444772183
MY2530	219.245327847596
MY2535	150.08302642485
MY2573	-58.6112402618587
MY2693	47.8441261037754
MY2713	41.2233213285408
MY2741	-24.6569337252948
MY518	-13.2114577629125
MY679	52.5440088052428
MY772	22.1086364536072
MY920	131.437981749588
NIC1049	-98.2320146025904
NIC1107	-41.8500824557046
NIC166	-21.0929060033901
NIC195	26.6394441702639
NIC199	-131.76915452037
NIC207	-29.6499520430101
NIC231	-31.7017521037426
NIC236	163.877491775034
NIC242	-154.435320842464
NIC251	-158.90086476575
NIC252	76.2500063341787
NIC256	1.85652585474489
NIC258	-73.0636850344447
NIC259	-159.657944570127
NIC260	-37.2251168826988
NIC261	60.5416706268554
NIC262	-145.709392899853
NIC265	-23.243035675659
NIC266	272.700097042537
NIC267	13.0209301757682
NIC268	-62.1374679792684
NIC269	-83.5596003177557
NIC271	-55.4370427436307
NIC272	-88.6663312230832
NIC274	-67.5838211000111
NIC275	15.9230512373154
NIC276	-51.7008175423314
NIC3	54.3984153772177
NIC501	-11.3700546211769
NIC511	16.8767553019539
NIC514	-111.953619968554
NIC515	51.5158845976256
NIC522	-68.5862840464359
NIC526	-119.876780430578
NIC527	-59.5949522475678
PB303	67.4630005051767
PS2025	75.6612991800296
PX179	104.341758312687
QG556	34.0392319700481
QG557	-2.24777932820306
QX1212	6.36681516002939
QX1233	-28.8777588276163
QX1791	-57.6173883239833
QX1792	-111.987108388817
QX1793	44.7500820730241
QX1794	17.5410145394383
RC301	173.634823877426
WN2001	-128.203793414573
WN2033	52.1382661273908
WN2050	126.291953548646
XZ1513	-79.7412512419233
XZ1514	-10.082738831699
